employee_id,age,gender,years_at_company,job_role,monthly_income,work_life_balance,job_satisfaction,performance_rating,number_of_promotions,overtime,distance_from_home,education_level,marital_status,number_of_dependents,job_level,company_size,company_tenure_in_months,remote_work,leadership_opportunities,innovation_opportunities,company_reputation,employee_recognition,attrition
10157288,44,Female,21,Technology,3681,Good,Very High,Low,3,No,75,High School,Married,4,Senior,Medium,,No,No,No,Good,,Stayed
4662246,24,Female,1,Education,11223,Fair,High,High,2,No,75,High School,Married,0,Entry,Small,93.0,No,No,No,Good,,Stayed
13519352,59,Male,2,Finance,3681,Fair,High,High,0,No,75,High School,,0,Mid,Medium,63.0,No,No,No,Poor,,Stayed
5293953,59,Female,11,Education,6564,Good,Very High,Average,0,No,5,High School,Married,0,Mid,Medium,54.0,Yes,No,No,Excellent,,Stayed
7086677,24,Male,1,Healthcare,10743,Good,Very High,Low,3,No,75,High School,Married,4,Mid,Medium,69.0,No,No,No,Good,,Stayed
6144984,24,Female,12,Education,7162,Excellent,High,High,1,No,58,Master's Degree,Married,0,Entry,Medium,21.0,No,No,No,Poor,,Left
16504377,49,Female,1,Healthcare,11223,Good,High,Average,2,Yes,34,Master's Degree,Married,4,Senior,Medium,85.0,No,No,No,Good,,Stayed
13886773,31,Male,11,Education,6674,Excellent,Medium,Average,3,Yes,53,High School,Married,0,Mid,Medium,25.0,No,No,No,Fair,,Stayed
3065854,49,Male,1,Healthcare,7030,Good,High,High,1,Yes,75,High School,Married,4,Entry,Medium,21.0,,No,No,Fair,,Stayed
2578828,59,Male,1,Education,6438,Good,High,High,2,No,53,High School,Divorced,4,Mid,Medium,21.0,No,No,No,Fair,,Stayed
9562304,26,Female,1,Finance,11223,Fair,Very High,Low,3,No,51,PhD,Married,2,Mid,Large,40.0,No,No,No,Good,,Stayed
11642682,48,Male,4,Education,5761,Good,High,Below Aver,3,No,75,PhD,Married,1,Mid,Small,70.0,,No,No,Good,,Stayed
1133532,37,Female,1,Education,10869,Fair,High,Low,0,No,49,PhD,Married,2,Senior,Medium,80.0,No,No,No,Good,,Stayed
12317138,31,Female,1,Education,5163,Good,High,High,3,Yes,68,High School,Married,2,Mid,Medium,52.0,No,No,No,Fair,,Stayed
2512270,59,Male,21,Technology,3681,Fair,Very High,Average,0,No,36,High School,Single,4,Mid,Medium,22.0,No,No,No,Good,,Left
16152148,39,Female,24,Healthcare,3681,Fair,Very High,Average,2,Yes,75,High School,Married,4,Mid,Medium,21.0,No,No,No,Good,,Stayed
8995126,24,Female,1,Education,4090,Good,High,Average,1,No,75,PhD,,0,Entry,Medium,41.0,No,No,No,Excellent,,Stayed
597235,59,Male,26,Healthcare,7300,Poor,Very High,High,0,No,7,Bachelor's Degree,Married,4,Mid,Medium,46.0,No,No,No,Good,,Stayed
